Success,Completion Steps,Wall Time (s),max_steps,boundary,clusters,flyover_on_collect,N,spawn_type,seed,success_radius
True,254.0,2.0588228999986313,2000,none,3,False,50,uniform,0,28.284271247461902
True,91.0,0.3413269000011496,2000,none,3,False,50,uniform,1,28.284271247461902
True,438.0,1.7725659999996424,2000,none,3,False,50,uniform,2,28.284271247461902
True,618.0,2.3979738999914844,2000,none,3,False,50,uniform,3,28.284271247461902
True,314.0,1.260061199995107,2000,none,3,False,50,uniform,4,28.284271247461902
True,87.0,0.3132634999928996,2000,none,3,False,50,uniform,5,28.284271247461902
True,203.0,0.7709007999947062,2000,none,3,False,50,uniform,6,28.284271247461902
True,243.0,0.9756345999921905,2000,none,3,False,50,uniform,7,28.284271247461902
True,284.0,1.1079326000035508,2000,none,3,False,50,uniform,8,28.284271247461902
True,327.0,1.2446000999916578,2000,none,3,False,50,uniform,9,28.284271247461902
True,121.0,0.44749900000169873,2000,none,3,True,50,uniform,0,28.284271247461902
True,83.0,0.3170733000006294,2000,none,3,True,50,uniform,1,28.284271247461902
True,268.0,1.039367499994114,2000,none,3,True,50,uniform,2,28.284271247461902
True,224.0,0.8801584000029834,2000,none,3,True,50,uniform,3,28.284271247461902
True,227.0,0.9027969000017038,2000,none,3,True,50,uniform,4,28.284271247461902
True,139.0,0.5235290999989957,2000,none,3,True,50,uniform,5,28.284271247461902
True,246.0,0.9863255000091158,2000,none,3,True,50,uniform,6,28.284271247461902
True,99.0,0.3980433999968227,2000,none,3,True,50,uniform,7,28.284271247461902
True,399.0,1.6479697000031592,2000,none,3,True,50,uniform,8,28.284271247461902
True,211.0,0.8173261000047205,2000,none,3,True,50,uniform,9,28.284271247461902
True,280.0,1.129307900002459,2000,none,3,False,50,circle,0,28.284271247461902
True,248.0,1.0062956999900052,2000,none,3,False,50,circle,1,28.284271247461902
True,177.0,0.701746099992306,2000,none,3,False,50,circle,2,28.284271247461902
True,140.0,0.5553063000115799,2000,none,3,False,50,circle,3,28.284271247461902
True,481.0,1.919119900005171,2000,none,3,False,50,circle,4,28.284271247461902
True,179.0,0.7004318999970565,2000,none,3,False,50,circle,5,28.284271247461902
True,135.0,0.5425528999912785,2000,none,3,False,50,circle,6,28.284271247461902
True,494.0,1.949179199989885,2000,none,3,False,50,circle,7,28.284271247461902
True,144.0,0.5801453000021866,2000,none,3,False,50,circle,8,28.284271247461902
True,165.0,0.7021386999986134,2000,none,3,False,50,circle,9,28.284271247461902
True,251.0,1.023822699993616,2000,none,3,True,50,circle,0,28.284271247461902
True,262.0,1.0433861999918008,2000,none,3,True,50,circle,1,28.284271247461902
True,272.0,1.0974454000097467,2000,none,3,True,50,circle,2,28.284271247461902
True,176.0,0.6982103999907849,2000,none,3,True,50,circle,3,28.284271247461902
True,113.0,0.46584409999195486,2000,none,3,True,50,circle,4,28.284271247461902
True,493.0,2.032699600007618,2000,none,3,True,50,circle,5,28.284271247461902
True,200.0,0.8055128999985754,2000,none,3,True,50,circle,6,28.284271247461902
True,333.0,1.3469833999988623,2000,none,3,True,50,circle,7,28.284271247461902
True,300.0,1.1977150999882724,2000,none,3,True,50,circle,8,28.284271247461902
True,205.0,0.856850600001053,2000,none,3,True,50,circle,9,28.284271247461902
True,305.0,2.1452476999984356,2000,none,3,False,100,uniform,0,40.0
True,487.0,3.521108599990839,2000,none,3,False,100,uniform,1,40.0
True,660.0,4.706629500011331,2000,none,3,False,100,uniform,2,40.0
True,300.0,2.150152399990475,2000,none,3,False,100,uniform,3,40.0
True,334.0,2.4130358999973396,2000,none,3,False,100,uniform,4,40.0
True,109.0,0.7392680000048131,2000,none,3,False,100,uniform,5,40.0
True,370.0,2.48604570000316,2000,none,3,False,100,uniform,6,40.0
True,259.0,1.6537887000013143,2000,none,3,False,100,uniform,7,40.0
True,449.0,3.1887426000030246,2000,none,3,False,100,uniform,8,40.0
True,188.0,1.3323375999898417,2000,none,3,False,100,uniform,9,40.0
True,362.0,2.635780099997646,2000,none,3,True,100,uniform,0,40.0
True,444.0,3.231718399998499,2000,none,3,True,100,uniform,1,40.0
True,229.0,1.6451272999984212,2000,none,3,True,100,uniform,2,40.0
True,256.0,1.9036885000095936,2000,none,3,True,100,uniform,3,40.0
True,228.0,1.6999623000010615,2000,none,3,True,100,uniform,4,40.0
True,160.0,1.1588420000043698,2000,none,3,True,100,uniform,5,40.0
True,689.0,4.985532599996077,2000,none,3,True,100,uniform,6,40.0
True,224.0,1.6548238999966998,2000,none,3,True,100,uniform,7,40.0
True,260.0,2.0376544000027934,2000,none,3,True,100,uniform,8,40.0
True,242.0,1.8339171999978134,2000,none,3,True,100,uniform,9,40.0
True,377.0,2.7341785000025993,2000,none,3,False,100,circle,0,40.0
True,674.0,4.8165733000059845,2000,none,3,False,100,circle,1,40.0
True,286.0,1.9170051999972202,2000,none,3,False,100,circle,2,40.0
True,608.0,4.307986300002085,2000,none,3,False,100,circle,3,40.0
True,158.0,1.1513525000045775,2000,none,3,False,100,circle,4,40.0
True,440.0,3.0659733999927994,2000,none,3,False,100,circle,5,40.0
True,264.0,1.8277014000050258,2000,none,3,False,100,circle,6,40.0
True,206.0,1.482824000006076,2000,none,3,False,100,circle,7,40.0
True,155.0,1.1860477000009269,2000,none,3,False,100,circle,8,40.0
True,533.0,3.7759216999984346,2000,none,3,False,100,circle,9,40.0
True,351.0,2.7418522000079975,2000,none,3,True,100,circle,0,40.0
True,316.0,2.3950979999935953,2000,none,3,True,100,circle,1,40.0
True,577.0,4.377306900001713,2000,none,3,True,100,circle,2,40.0
True,235.0,1.774685500000487,2000,none,3,True,100,circle,3,40.0
True,311.0,2.2969269000022905,2000,none,3,True,100,circle,4,40.0
True,325.0,2.5177285999961896,2000,none,3,True,100,circle,5,40.0
True,547.0,4.141553900000872,2000,none,3,True,100,circle,6,40.0
True,344.0,2.574858400010271,2000,none,3,True,100,circle,7,40.0
True,401.0,3.097907800009125,2000,none,3,True,100,circle,8,40.0
True,288.0,2.205639899999369,2000,none,3,True,100,circle,9,40.0
True,451.0,4.247919900008128,2000,none,3,False,150,uniform,0,48.98979485566356
True,595.0,5.347473100002389,2000,none,3,False,150,uniform,1,48.98979485566356
True,600.0,5.653685099998256,2000,none,3,False,150,uniform,2,48.98979485566356
True,472.0,4.144867700000759,2000,none,3,False,150,uniform,3,48.98979485566356
True,521.0,4.494151800012332,2000,none,3,False,150,uniform,4,48.98979485566356
True,262.0,2.1953398999903584,2000,none,3,False,150,uniform,5,48.98979485566356
True,304.0,2.5749303000047803,2000,none,3,False,150,uniform,6,48.98979485566356
True,311.0,2.7385651000076905,2000,none,3,False,150,uniform,7,48.98979485566356
True,163.0,1.4777284000010695,2000,none,3,False,150,uniform,8,48.98979485566356
True,679.0,6.314171600010013,2000,none,3,False,150,uniform,9,48.98979485566356
True,260.0,2.4074011000047904,2000,none,3,True,150,uniform,0,48.98979485566356
True,507.0,4.783028499994543,2000,none,3,True,150,uniform,1,48.98979485566356
True,373.0,3.446242899997742,2000,none,3,True,150,uniform,2,48.98979485566356
True,416.0,4.181931400002213,2000,none,3,True,150,uniform,3,48.98979485566356
True,285.0,2.7466817000095034,2000,none,3,True,150,uniform,4,48.98979485566356
True,344.0,3.3586312999977963,2000,none,3,True,150,uniform,5,48.98979485566356
True,528.0,4.97656769999594,2000,none,3,True,150,uniform,6,48.98979485566356
True,1023.0,10.228355100000044,2000,none,3,True,150,uniform,7,48.98979485566356
True,479.0,4.663967799991951,2000,none,3,True,150,uniform,8,48.98979485566356
True,503.0,4.996989999999641,2000,none,3,True,150,uniform,9,48.98979485566356
True,755.0,7.134888300002785,2000,none,3,False,150,circle,0,48.98979485566356
True,303.0,2.7627020999934757,2000,none,3,False,150,circle,1,48.98979485566356
True,725.0,6.935275700001512,2000,none,3,False,150,circle,2,48.98979485566356
True,628.0,6.510368700008257,2000,none,3,False,150,circle,3,48.98979485566356
True,333.0,3.40621960000135,2000,none,3,False,150,circle,4,48.98979485566356
True,299.0,3.2179815000126837,2000,none,3,False,150,circle,5,48.98979485566356
True,302.0,3.2157639999932144,2000,none,3,False,150,circle,6,48.98979485566356
True,347.0,3.5525053999881493,2000,none,3,False,150,circle,7,48.98979485566356
True,516.0,5.407137599991984,2000,none,3,False,150,circle,8,48.98979485566356
True,419.0,4.307942899991758,2000,none,3,False,150,circle,9,48.98979485566356
True,292.0,3.3686194000038086,2000,none,3,True,150,circle,0,48.98979485566356
True,493.0,5.774321800010512,2000,none,3,True,150,circle,1,48.98979485566356
True,662.0,7.5429704999987734,2000,none,3,True,150,circle,2,48.98979485566356
True,337.0,3.9492855000135023,2000,none,3,True,150,circle,3,48.98979485566356
True,347.0,4.061698399993475,2000,none,3,True,150,circle,4,48.98979485566356
True,487.0,6.174650600005407,2000,none,3,True,150,circle,5,48.98979485566356
True,449.0,5.271560400011367,2000,none,3,True,150,circle,6,48.98979485566356
True,379.0,4.778257500001928,2000,none,3,True,150,circle,7,48.98979485566356
True,644.0,7.195531400007894,2000,none,3,True,150,circle,8,48.98979485566356
True,340.0,3.7884070000000065,2000,none,3,True,150,circle,9,48.98979485566356
True,801.0,11.845489400002407,2000,none,3,False,200,uniform,0,56.568542494923804
True,798.0,13.49152339999273,2000,none,3,False,200,uniform,1,56.568542494923804
True,210.0,3.699921899999026,2000,none,3,False,200,uniform,2,56.568542494923804
True,348.0,5.551453100008075,2000,none,3,False,200,uniform,3,56.568542494923804
True,186.0,2.8634600000077626,2000,none,3,False,200,uniform,4,56.568542494923804
True,302.0,4.594521599996369,2000,none,3,False,200,uniform,5,56.568542494923804
True,380.0,6.008535300003132,2000,none,3,False,200,uniform,6,56.568542494923804
True,328.0,4.936203699995531,2000,none,3,False,200,uniform,7,56.568542494923804
True,312.0,5.01482820000092,2000,none,3,False,200,uniform,8,56.568542494923804
True,577.0,9.41660059998685,2000,none,3,False,200,uniform,9,56.568542494923804
True,321.0,5.170865100008086,2000,none,3,True,200,uniform,0,56.568542494923804
True,299.0,4.871735799999442,2000,none,3,True,200,uniform,1,56.568542494923804
True,273.0,4.568648300002678,2000,none,3,True,200,uniform,2,56.568542494923804
True,322.0,5.037300399999367,2000,none,3,True,200,uniform,3,56.568542494923804
True,352.0,5.673794899994391,2000,none,3,True,200,uniform,4,56.568542494923804
True,452.0,7.064182299989625,2000,none,3,True,200,uniform,5,56.568542494923804
True,809.0,13.25466389999201,2000,none,3,True,200,uniform,6,56.568542494923804
True,544.0,8.521403499995358,2000,none,3,True,200,uniform,7,56.568542494923804
True,391.0,6.6887134999997215,2000,none,3,True,200,uniform,8,56.568542494923804
True,294.0,5.035096000006888,2000,none,3,True,200,uniform,9,56.568542494923804
True,775.0,12.454934199995478,2000,none,3,False,200,circle,0,56.568542494923804
True,1077.0,17.09296570000879,2000,none,3,False,200,circle,1,56.568542494923804
True,537.0,7.976009099991643,2000,none,3,False,200,circle,2,56.568542494923804
True,316.0,4.93414899999334,2000,none,3,False,200,circle,3,56.568542494923804
True,575.0,9.288361299986718,2000,none,3,False,200,circle,4,56.568542494923804
True,616.0,9.978735299999244,2000,none,3,False,200,circle,5,56.568542494923804
True,359.0,5.808018700001412,2000,none,3,False,200,circle,6,56.568542494923804
True,664.0,10.111771900003077,2000,none,3,False,200,circle,7,56.568542494923804
True,402.0,6.297510899996269,2000,none,3,False,200,circle,8,56.568542494923804
True,498.0,7.896864499998628,2000,none,3,False,200,circle,9,56.568542494923804
True,760.0,12.499934599996777,2000,none,3,True,200,circle,0,56.568542494923804
True,614.0,9.814262100000633,2000,none,3,True,200,circle,1,56.568542494923804
True,622.0,11.499316900008125,2000,none,3,True,200,circle,2,56.568542494923804
True,468.0,8.020935299995472,2000,none,3,True,200,circle,3,56.568542494923804
True,502.0,8.261588099994697,2000,none,3,True,200,circle,4,56.568542494923804
True,489.0,8.276891700006672,2000,none,3,True,200,circle,5,56.568542494923804
True,557.0,9.278284799991525,2000,none,3,True,200,circle,6,56.568542494923804
True,465.0,7.856572799995774,2000,none,3,True,200,circle,7,56.568542494923804
True,642.0,10.338383299997076,2000,none,3,True,200,circle,8,56.568542494923804
True,563.0,9.28033389999473,2000,none,3,True,200,circle,9,56.568542494923804
True,1585.0,26.837036400000216,2000,none,3,False,250,uniform,0,63.245553203367585
True,1406.0,24.217866999999387,2000,none,3,False,250,uniform,1,63.245553203367585
True,903.0,15.100764799994067,2000,none,3,False,250,uniform,2,63.245553203367585
True,928.0,14.841508100013016,2000,none,3,False,250,uniform,3,63.245553203367585
True,379.0,6.443576799996663,2000,none,3,False,250,uniform,4,63.245553203367585
True,291.0,4.892403999998351,2000,none,3,False,250,uniform,5,63.245553203367585
True,689.0,11.581429300000309,2000,none,3,False,250,uniform,6,63.245553203367585
True,319.0,5.266838700001244,2000,none,3,False,250,uniform,7,63.245553203367585
True,509.0,8.89820470000268,2000,none,3,False,250,uniform,8,63.245553203367585
False,,33.42199160000018,2000,none,3,False,250,uniform,9,63.245553203367585
True,540.0,9.496575199998915,2000,none,3,True,250,uniform,0,63.245553203367585
True,440.0,8.043156599989743,2000,none,3,True,250,uniform,1,63.245553203367585
True,290.0,5.039580099997693,2000,none,3,True,250,uniform,2,63.245553203367585
True,486.0,8.510146200002055,2000,none,3,True,250,uniform,3,63.245553203367585
True,247.0,4.3947243000002345,2000,none,3,True,250,uniform,4,63.245553203367585
True,324.0,5.425975899997866,2000,none,3,True,250,uniform,5,63.245553203367585
True,327.0,6.0822058000048855,2000,none,3,True,250,uniform,6,63.245553203367585
True,345.0,6.280395299996599,2000,none,3,True,250,uniform,7,63.245553203367585
True,320.0,6.061321000001044,2000,none,3,True,250,uniform,8,63.245553203367585
True,400.0,7.30639670000528,2000,none,3,True,250,uniform,9,63.245553203367585
True,1584.0,27.989111699993373,2000,none,3,False,250,circle,0,63.245553203367585
True,502.0,9.658611100006965,2000,none,3,False,250,circle,1,63.245553203367585
True,876.0,14.194873699991149,2000,none,3,False,250,circle,2,63.245553203367585
True,700.0,12.023518999994849,2000,none,3,False,250,circle,3,63.245553203367585
True,717.0,12.520708099997137,2000,none,3,False,250,circle,4,63.245553203367585
True,567.0,9.623382299992954,2000,none,3,False,250,circle,5,63.245553203367585
True,905.0,14.13672970001062,2000,none,3,False,250,circle,6,63.245553203367585
True,1243.0,17.25263879999693,2000,none,3,False,250,circle,7,63.245553203367585
True,1070.0,15.753555400006007,2000,none,3,False,250,circle,8,63.245553203367585
True,522.0,8.145950799997081,2000,none,3,False,250,circle,9,63.245553203367585
True,668.0,11.51005910000822,2000,none,3,True,250,circle,0,63.245553203367585
True,893.0,13.369801399996504,2000,none,3,True,250,circle,1,63.245553203367585
True,1132.0,16.77188470000692,2000,none,3,True,250,circle,2,63.245553203367585
True,776.0,12.207408000002033,2000,none,3,True,250,circle,3,63.245553203367585
True,748.0,13.744033099996159,2000,none,3,True,250,circle,4,63.245553203367585
