Success,Completion Steps,Wall Time (s),Drone Count,max_steps,boundary,clusters,drone_xy,k_nn,conditionally_apply_repulsion,N,spawn_type,seed,success_radius
False,,1.572258583997609,1,2000,none,3,[[0 0]],1,False,120,uniform,0,43.81780460041329
False,,1.2591820000088774,1,2000,none,3,[[0 0]],2,False,120,uniform,0,43.81780460041329
False,,1.802888083999278,1,2000,none,3,[[0 0]],3,False,120,uniform,0,43.81780460041329
False,,1.8667239170172252,1,2000,none,3,[[0 0]],4,False,120,uniform,0,43.81780460041329
False,,1.7439854159893002,1,2000,none,3,[[0 0]],5,False,120,uniform,0,43.81780460041329
False,,1.9534077089920174,1,2000,none,3,[[0 0]],6,False,120,uniform,0,43.81780460041329
False,,1.6397002909798175,1,2000,none,3,[[0 0]],7,False,120,uniform,0,43.81780460041329
False,,1.8037057089968584,1,2000,none,3,[[0 0]],8,False,120,uniform,0,43.81780460041329
False,,1.8717814169940539,1,2000,none,3,[[0 0]],9,False,120,uniform,0,43.81780460041329
False,,2.028500999993412,1,2000,none,3,[[0 0]],10,False,120,uniform,0,43.81780460041329
False,,2.038174916000571,1,2000,none,3,[[0 0]],11,False,120,uniform,0,43.81780460041329
False,,1.7056840419827495,1,2000,none,3,[[0 0]],12,False,120,uniform,0,43.81780460041329
False,,2.448494665994076,1,2000,none,3,[[0 0]],13,False,120,uniform,0,43.81780460041329
False,,2.149270541005535,1,2000,none,3,[[0 0]],14,False,120,uniform,0,43.81780460041329
False,,2.46782845800044,1,2000,none,3,[[0 0]],15,False,120,uniform,0,43.81780460041329
False,,2.883938917017076,1,2000,none,3,[[0 0]],16,False,120,uniform,0,43.81780460041329
False,,2.339539624983445,1,2000,none,3,[[0 0]],17,False,120,uniform,0,43.81780460041329
False,,3.946052333980333,1,2000,none,3,[[0 0]],18,False,120,uniform,0,43.81780460041329
False,,2.172933291993104,1,2000,none,3,[[0 0]],19,False,120,uniform,0,43.81780460041329
False,,2.375038583006244,1,2000,none,3,[[0 0]],20,False,120,uniform,0,43.81780460041329
False,,3.296762000012677,1,2000,none,3,[[0 0]],21,False,120,uniform,0,43.81780460041329
False,,2.600916666997364,1,2000,none,3,[[0 0]],22,False,120,uniform,0,43.81780460041329
False,,2.4823736659891438,1,2000,none,3,[[0 0]],23,False,120,uniform,0,43.81780460041329
True,1779.0,3.954554041993106,1,2000,none,3,[[0 0]],24,False,120,uniform,0,43.81780460041329
False,,2.807447665982181,1,2000,none,3,[[0 0]],25,False,120,uniform,0,43.81780460041329
False,,3.5294069160008803,1,2000,none,3,[[0 0]],26,False,120,uniform,0,43.81780460041329
