Success,Completion Steps,Wall Time (s),Drone Count,max_steps,boundary,clusters,dt,drone_xy,k_nn,conditionally_apply_repulsion,N,spawn_type,seed,success_radius
True,800.0,0.7243082909990335,1,2000,none,3,1.0,[[0 0]],1,True,2,uniform,0,5.656854249492381
True,1816.0,0.8417772079992574,1,2000,none,3,1.0,[[0 0]],1,True,7,uniform,0,10.583005244258363
True,1574.0,0.7167888749972917,1,2000,none,3,1.0,[[0 0]],3,True,7,uniform,0,10.583005244258363
False,,1.4506523329910124,1,2000,none,3,1.0,[[0 0]],1,True,12,uniform,0,13.856406460551018
True,1959.0,1.528650792010012,1,2000,none,3,1.0,[[0 0]],3,True,12,uniform,0,13.856406460551018
True,1888.0,1.301207707991125,1,2000,none,3,1.0,[[0 0]],5,True,12,uniform,0,13.856406460551018
False,,1.8158665000082692,1,2000,none,3,1.0,[[0 0]],1,True,17,uniform,0,16.492422502470642
True,1970.0,1.6605419590050587,1,2000,none,3,1.0,[[0 0]],3,True,17,uniform,0,16.492422502470642
False,,1.7101966670015827,1,2000,none,3,1.0,[[0 0]],5,True,17,uniform,0,16.492422502470642
True,1784.0,1.5201122919970658,1,2000,none,3,1.0,[[0 0]],7,True,17,uniform,0,16.492422502470642
True,1694.0,1.4094603750127135,1,2000,none,3,1.0,[[0 0]],9,True,17,uniform,0,16.492422502470642
False,,2.19371362500533,1,2000,none,3,1.0,[[0 0]],1,True,22,uniform,0,18.76166303929372
False,,2.212747458994272,1,2000,none,3,1.0,[[0 0]],3,True,22,uniform,0,18.76166303929372
True,1927.0,2.0545961249881657,1,2000,none,3,1.0,[[0 0]],5,True,22,uniform,0,18.76166303929372
True,1911.0,2.1019437499926426,1,2000,none,3,1.0,[[0 0]],7,True,22,uniform,0,18.76166303929372
True,1902.0,2.0094359579961747,1,2000,none,3,1.0,[[0 0]],9,True,22,uniform,0,18.76166303929372
True,1807.0,1.9071387500007404,1,2000,none,3,1.0,[[0 0]],11,True,22,uniform,0,18.76166303929372
False,,2.513005291999434,1,2000,none,3,1.0,[[0 0]],1,True,27,uniform,0,20.784609690826528
False,,2.4622068340104306,1,2000,none,3,1.0,[[0 0]],3,True,27,uniform,0,20.784609690826528
False,,2.4915523329982534,1,2000,none,3,1.0,[[0 0]],5,True,27,uniform,0,20.784609690826528
False,,2.579933166009141,1,2000,none,3,1.0,[[0 0]],7,True,27,uniform,0,20.784609690826528
False,,2.390162750001764,1,2000,none,3,1.0,[[0 0]],9,True,27,uniform,0,20.784609690826528
False,,2.409012707998045,1,2000,none,3,1.0,[[0 0]],11,True,27,uniform,0,20.784609690826528
