Success,Completion Steps,Wall Time (s),max_steps,boundary,clusters,drone_xy,Drone Count,conditionally_apply_repulsion,N,spawn_type,seed,success_radius
True,340.0,5.322973100001036,2000,none,3,[[-20 -35]],1,False,100,circle,0,40.0
True,109.0,1.3790580999993836,2000,none,3,"[[-20 -36]
 [-20 -34]]",2,False,100,circle,0,40.0
False,,18.62358529999983,2000,none,3,"[[-20 -36]
 [-20 -35]
 [-20 -34]]",3,False,100,circle,0,40.0
True,611.0,4.0580124000007345,2000,none,3,[[-20 -35]],1,True,100,circle,0,40.0
True,225.0,2.757144999999582,2000,none,3,"[[-20 -36]
 [-20 -34]]",2,True,100,circle,0,40.0
True,371.0,4.4716873999987,2000,none,3,"[[-20 -36]
 [-20 -35]
 [-20 -34]]",3,True,100,circle,0,40.0
False,,14.436976699998922,2000,none,3,[[-20 -35]],1,False,100,uniform,0,40.0
True,748.0,9.133172600000762,2000,none,3,"[[-20 -36]
 [-20 -34]]",2,False,100,uniform,0,40.0
False,,11.617984700000306,2000,none,3,"[[-20 -36]
 [-20 -35]
 [-20 -34]]",3,False,100,uniform,0,40.0
True,177.0,1.587111200000436,2000,none,3,[[-20 -35]],1,True,100,uniform,0,40.0
True,216.0,2.4627424999998766,2000,none,3,"[[-20 -36]
 [-20 -34]]",2,True,100,uniform,0,40.0
True,289.0,2.51968719999968,2000,none,3,"[[-20 -36]
 [-20 -35]
 [-20 -34]]",3,True,100,uniform,0,40.0
False,,29.037400299999717,2000,none,3,[[-20 -35]],1,False,200,circle,0,56.568542494923804
True,196.0,4.526539500000581,2000,none,3,"[[-20 -36]
 [-20 -34]]",2,False,200,circle,0,56.568542494923804
True,131.0,3.3264517999996315,2000,none,3,"[[-20 -36]
 [-20 -35]
 [-20 -34]]",3,False,200,circle,0,56.568542494923804
True,839.0,10.456514899999092,2000,none,3,[[-20 -35]],1,True,200,circle,0,56.568542494923804
True,171.0,3.9877399999986665,2000,none,3,"[[-20 -36]
 [-20 -34]]",2,True,200,circle,0,56.568542494923804
True,192.0,4.3847701999984565,2000,none,3,"[[-20 -36]
 [-20 -35]
 [-20 -34]]",3,True,200,circle,0,56.568542494923804
True,237.0,3.6988099999998667,2000,none,3,[[-20 -35]],1,False,200,uniform,0,56.568542494923804
True,231.0,5.225814700001138,2000,none,3,"[[-20 -36]
 [-20 -34]]",2,False,200,uniform,0,56.568542494923804
True,1105.0,16.803301899999497,2000,none,3,"[[-20 -36]
 [-20 -35]
 [-20 -34]]",3,False,200,uniform,0,56.568542494923804
True,289.0,3.896047799998996,2000,none,3,[[-20 -35]],1,True,200,uniform,0,56.568542494923804
True,233.0,4.515218200000163,2000,none,3,"[[-20 -36]
 [-20 -34]]",2,True,200,uniform,0,56.568542494923804
True,104.0,2.281425400000444,2000,none,3,"[[-20 -36]
 [-20 -35]
 [-20 -34]]",3,True,200,uniform,0,56.568542494923804
False,,28.031239699999787,2000,none,3,[[-20 -35]],1,False,300,circle,0,69.2820323027551
False,,22.751374299999952,2000,none,3,"[[-20 -36]
 [-20 -34]]",2,False,300,circle,0,69.2820323027551
True,164.0,6.073279500000353,2000,none,3,"[[-20 -36]
 [-20 -35]
 [-20 -34]]",3,False,300,circle,0,69.2820323027551
True,1268.0,18.05225100000098,2000,none,3,[[-20 -35]],1,True,300,circle,0,69.2820323027551
True,426.0,11.90065820000018,2000,none,3,"[[-20 -36]
 [-20 -34]]",2,True,300,circle,0,69.2820323027551
True,221.0,7.495801400000346,2000,none,3,"[[-20 -36]
 [-20 -35]
 [-20 -34]]",3,True,300,circle,0,69.2820323027551
True,347.0,6.185204400000657,2000,none,3,[[-20 -35]],1,False,300,uniform,0,69.2820323027551
True,663.0,10.870349999999235,2000,none,3,"[[-20 -36]
 [-20 -34]]",2,False,300,uniform,0,69.2820323027551
True,148.0,5.185650299999907,2000,none,3,"[[-20 -36]
 [-20 -35]
 [-20 -34]]",3,False,300,uniform,0,69.2820323027551
True,294.0,5.124913100000413,2000,none,3,[[-20 -35]],1,True,300,uniform,0,69.2820323027551
