Success,Completion Steps,Wall Time (s),Drone Count,max_steps,boundary,clusters,dt,drone_xy,k_nn,conditionally_apply_repulsion,N,spawn_type,seed,success_radius
False,,0.9414082079965738,3,2000,none,3,1.0,"[[  0   0]
 [  0 100]
 [100   0]]",1,True,2,uniform,0,5.656854249492381
False,,1.023386249995383,3,2000,none,3,1.0,"[[  0   0]
 [  0 100]
 [100   0]]",1,True,7,uniform,0,10.583005244258363
True,1069.0,0.564499167005124,3,2000,none,3,1.0,"[[  0   0]
 [  0 100]
 [100   0]]",3,True,7,uniform,0,10.583005244258363
False,,1.5186848750017816,3,2000,none,3,1.0,"[[  0   0]
 [  0 100]
 [100   0]]",1,True,12,uniform,0,13.856406460551018
False,,1.5046619159984402,3,2000,none,3,1.0,"[[  0   0]
 [  0 100]
 [100   0]]",3,True,12,uniform,0,13.856406460551018
True,1967.0,1.4404763749989797,3,2000,none,3,1.0,"[[  0   0]
 [  0 100]
 [100   0]]",5,True,12,uniform,0,13.856406460551018
False,,1.971165375005512,3,2000,none,3,1.0,"[[  0   0]
 [  0 100]
 [100   0]]",1,True,17,uniform,0,16.492422502470642
True,1949.0,1.8936568339995574,3,2000,none,3,1.0,"[[  0   0]
 [  0 100]
 [100   0]]",3,True,17,uniform,0,16.492422502470642
True,1492.0,1.3593155830021715,3,2000,none,3,1.0,"[[  0   0]
 [  0 100]
 [100   0]]",5,True,17,uniform,0,16.492422502470642
True,1337.0,1.2285848329993314,3,2000,none,3,1.0,"[[  0   0]
 [  0 100]
 [100   0]]",7,True,17,uniform,0,16.492422502470642
True,1254.0,1.1295514590019593,3,2000,none,3,1.0,"[[  0   0]
 [  0 100]
 [100   0]]",9,True,17,uniform,0,16.492422502470642
False,,2.3092056660025264,3,2000,none,3,1.0,"[[  0   0]
 [  0 100]
 [100   0]]",1,True,22,uniform,0,18.76166303929372
False,,2.2655857499994454,3,2000,none,3,1.0,"[[  0   0]
 [  0 100]
 [100   0]]",3,True,22,uniform,0,18.76166303929372
