Success,Completion Steps,Wall Time (s),max_steps,boundary,clusters,N,spawn_type,seed,success_radius
True,102.0,1.3598058999923524,6000,none,3,40,uniform,0,70.17642571710877
True,195.0,0.6618865000200458,6000,none,3,40,uniform,1,70.17642571710877
True,96.0,0.3312236999918241,6000,none,3,40,uniform,2,70.17642571710877
True,87.0,0.27340199999161996,6000,none,3,40,uniform,3,70.17642571710877
True,127.0,0.42466170000261627,6000,none,3,40,uniform,4,70.17642571710877
True,97.0,0.322212800005218,6000,none,3,40,cricle,0,70.17642571710877
True,107.0,0.35244539999985136,6000,none,3,40,cricle,1,70.17642571710877
True,157.0,0.5398375999939162,6000,none,3,40,cricle,2,70.17642571710877
True,135.0,0.43905079999240115,6000,none,3,40,cricle,3,70.17642571710877
True,98.0,0.3072847000148613,6000,none,3,40,cricle,4,70.17642571710877
True,317.0,1.0885733999894,6000,none,3,40,clusters,0,70.17642571710877
True,173.0,0.5823778000194579,6000,none,3,40,clusters,1,70.17642571710877
True,293.0,1.0119957999850158,6000,none,3,40,clusters,2,70.17642571710877
True,361.0,1.2096702000126243,6000,none,3,40,clusters,3,70.17642571710877
True,122.0,0.403737499989802,6000,none,3,40,clusters,4,70.17642571710877
True,529.0,3.2975169999990612,6000,none,3,80,uniform,0,111.39813200670667
True,212.0,1.3031475000025239,6000,none,3,80,uniform,1,111.39813200670667
True,1027.0,6.66207360001863,6000,none,3,80,uniform,2,111.39813200670667
True,1413.0,9.134918900002958,6000,none,3,80,uniform,3,111.39813200670667
True,1073.0,6.843037599988747,6000,none,3,80,uniform,4,111.39813200670667
True,223.0,1.3181420000037178,6000,none,3,80,cricle,0,111.39813200670667
True,1262.0,7.953119600017089,6000,none,3,80,cricle,1,111.39813200670667
True,2235.0,14.450054499990074,6000,none,3,80,cricle,2,111.39813200670667
True,2901.0,18.677064699993934,6000,none,3,80,cricle,3,111.39813200670667
True,961.0,6.074437199975364,6000,none,3,80,cricle,4,111.39813200670667
True,1107.0,6.717518500023289,6000,none,3,80,clusters,0,111.39813200670667
True,180.0,1.0759481999848504,6000,none,3,80,clusters,1,111.39813200670667
True,2008.0,12.998555199999828,6000,none,3,80,clusters,2,111.39813200670667
True,877.0,5.653453600010835,6000,none,3,80,clusters,3,111.39813200670667
True,1978.0,12.834924399998272,6000,none,3,80,clusters,4,111.39813200670667
False,,64.26247840002179,6000,none,3,120,uniform,0,145.97284789376158
False,,94.39927170000738,6000,none,3,120,uniform,1,145.97284789376158
False,,99.06621499999892,6000,none,3,120,uniform,2,145.97284789376158
False,,98.13223570000264,6000,none,3,120,uniform,3,145.97284789376158
False,,96.53856280000764,6000,none,3,120,uniform,4,145.97284789376158
False,,96.73961460002465,6000,none,3,120,cricle,0,145.97284789376158
False,,102.76961149999988,6000,none,3,120,cricle,1,145.97284789376158
False,,102.01388189999852,6000,none,3,120,cricle,2,145.97284789376158
False,,95.97235140000703,6000,none,3,120,cricle,3,145.97284789376158
False,,99.37663149999571,6000,none,3,120,cricle,4,145.97284789376158
False,,97.0771226999932,6000,none,3,120,clusters,0,145.97284789376158
False,,96.7190222000063,6000,none,3,120,clusters,1,145.97284789376158
False,,95.86129860000801,6000,none,3,120,clusters,2,145.97284789376158
False,,95.66285979998065,6000,none,3,120,clusters,3,145.97284789376158
False,,96.86872060000314,6000,none,3,120,clusters,4,145.97284789376158
