Success,Completion Steps,Wall Time (s),Drone Count,max_steps,boundary,clusters,dt,drone_xy,k_nn,conditionally_apply_repulsion,N,spawn_type,seed,success_radius
False,,0.8546704580076039,1,2000,none,3,1.0,[[0 0]],1,False,2,uniform,0,5.656854249492381
False,,0.8158250829874305,1,2000,none,3,1.0,[[0 0]],1,False,7,uniform,0,10.583005244258363
False,,0.801283417007653,1,2000,none,3,1.0,[[0 0]],3,False,7,uniform,0,10.583005244258363
False,,1.186025458999211,1,2000,none,3,1.0,[[0 0]],1,False,12,uniform,0,13.856406460551018
False,,1.2077632500004256,1,2000,none,3,1.0,[[0 0]],3,False,12,uniform,0,13.856406460551018
False,,1.2772691670106724,1,2000,none,3,1.0,[[0 0]],5,False,12,uniform,0,13.856406460551018
False,,2.0319924999930663,1,2000,none,3,1.0,[[0 0]],1,False,17,uniform,0,16.492422502470642
False,,2.0629625840083463,1,2000,none,3,1.0,[[0 0]],3,False,17,uniform,0,16.492422502470642
False,,1.7776294579962268,1,2000,none,3,1.0,[[0 0]],5,False,17,uniform,0,16.492422502470642
False,,1.7538808329991298,1,2000,none,3,1.0,[[0 0]],7,False,17,uniform,0,16.492422502470642
False,,1.8931664999981876,1,2000,none,3,1.0,[[0 0]],9,False,17,uniform,0,16.492422502470642
False,,2.1770484169974225,1,2000,none,3,1.0,[[0 0]],1,False,22,uniform,0,18.76166303929372
False,,1.9276960419956595,1,2000,none,3,1.0,[[0 0]],3,False,22,uniform,0,18.76166303929372
False,,2.0594102920003934,1,2000,none,3,1.0,[[0 0]],5,False,22,uniform,0,18.76166303929372
False,,1.9385220840049442,1,2000,none,3,1.0,[[0 0]],7,False,22,uniform,0,18.76166303929372
False,,1.963775957992766,1,2000,none,3,1.0,[[0 0]],9,False,22,uniform,0,18.76166303929372
False,,2.103597291992628,1,2000,none,3,1.0,[[0 0]],11,False,22,uniform,0,18.76166303929372
False,,2.5422590829984983,1,2000,none,3,1.0,[[0 0]],1,False,27,uniform,0,20.784609690826528
False,,2.475525874993764,1,2000,none,3,1.0,[[0 0]],3,False,27,uniform,0,20.784609690826528
False,,2.6741942500084406,1,2000,none,3,1.0,[[0 0]],5,False,27,uniform,0,20.784609690826528
False,,2.410311375002493,1,2000,none,3,1.0,[[0 0]],7,False,27,uniform,0,20.784609690826528
False,,2.432154709007591,1,2000,none,3,1.0,[[0 0]],9,False,27,uniform,0,20.784609690826528
False,,2.4558566250052536,1,2000,none,3,1.0,[[0 0]],11,False,27,uniform,0,20.784609690826528
False,,2.437505333000445,1,2000,none,3,1.0,[[0 0]],13,False,27,uniform,0,20.784609690826528
False,,3.0433672500075772,1,2000,none,3,1.0,[[0 0]],1,False,32,uniform,0,22.627416997969522
False,,3.12494674998743,1,2000,none,3,1.0,[[0 0]],3,False,32,uniform,0,22.627416997969522
False,,3.0539760000101523,1,2000,none,3,1.0,[[0 0]],5,False,32,uniform,0,22.627416997969522
False,,3.14354145800462,1,2000,none,3,1.0,[[0 0]],7,False,32,uniform,0,22.627416997969522
False,,3.0215621250099503,1,2000,none,3,1.0,[[0 0]],9,False,32,uniform,0,22.627416997969522
False,,3.0388126249890774,1,2000,none,3,1.0,[[0 0]],11,False,32,uniform,0,22.627416997969522
False,,2.952252832998056,1,2000,none,3,1.0,[[0 0]],13,False,32,uniform,0,22.627416997969522
False,,2.897506875000545,1,2000,none,3,1.0,[[0 0]],15,False,32,uniform,0,22.627416997969522
False,,3.4535638749948703,1,2000,none,3,1.0,[[0 0]],1,False,37,uniform,0,24.331050121192877
