Success,Completion Steps,Wall Time (s),max_steps,boundary,clusters,drone_xy,conditionally_apply_repulsion,N,spawn_type,seed,success_radius
True,237.0,2.507777700026054,2000,none,3,[[-20 -35]],False,100,uniform,0,40.0
True,483.0,3.0900702999788336,2000,none,3,[[-20 -35]],False,100,uniform,1,40.0
True,913.0,6.013301099999808,2000,none,3,[[-20 -35]],False,100,uniform,2,40.0
True,255.0,1.5591585999936797,2000,none,3,[[-20 -35]],False,100,uniform,3,40.0
True,141.0,0.8915662999497727,2000,none,3,[[-20 -35]],False,100,uniform,4,40.0
True,940.0,5.842290300002787,2000,none,3,[[-20 -35]],False,100,uniform,5,40.0
True,703.0,4.473166000039782,2000,none,3,[[-20 -35]],False,100,uniform,6,40.0
True,314.0,2.0201666999491863,2000,none,3,[[-20 -35]],False,100,uniform,7,40.0
True,423.0,2.831098299997393,2000,none,3,[[-20 -35]],False,100,uniform,8,40.0
True,117.0,0.7272067000158131,2000,none,3,[[-20 -35]],False,100,uniform,9,40.0
True,250.0,1.6442213999689557,2000,none,3,[[-20 -35]],False,100,circle,0,40.0
True,251.0,1.7769638000172563,2000,none,3,[[-20 -35]],False,100,circle,1,40.0
True,241.0,1.5930904999841005,2000,none,3,[[-20 -35]],False,100,circle,2,40.0
True,264.0,1.7470512999570929,2000,none,3,[[-20 -35]],False,100,circle,3,40.0
True,167.0,1.1233563999994658,2000,none,3,[[-20 -35]],False,100,circle,4,40.0
True,269.0,1.806916200031992,2000,none,3,[[-20 -35]],False,100,circle,5,40.0
True,302.0,1.910877900023479,2000,none,3,[[-20 -35]],False,100,circle,6,40.0
True,485.0,3.1749487000051886,2000,none,3,[[-20 -35]],False,100,circle,7,40.0
True,157.0,1.0394549000193365,2000,none,3,[[-20 -35]],False,100,circle,8,40.0
True,201.0,1.2534930999972858,2000,none,3,[[-20 -35]],False,100,circle,9,40.0
True,383.0,3.6269150999723934,2000,none,3,[[-20 -35]],False,200,uniform,0,56.568542494923804
True,389.0,3.6901754999998957,2000,none,3,[[-20 -35]],False,200,uniform,1,56.568542494923804
True,171.0,1.5768335000029765,2000,none,3,[[-20 -35]],False,200,uniform,2,56.568542494923804
True,531.0,4.779805099999066,2000,none,3,[[-20 -35]],False,200,uniform,3,56.568542494923804
True,458.0,4.584488000022247,2000,none,3,[[-20 -35]],False,200,uniform,4,56.568542494923804
True,1014.0,9.913210699975025,2000,none,3,[[-20 -35]],False,200,uniform,5,56.568542494923804
True,232.0,2.1755627000238746,2000,none,3,[[-20 -35]],False,200,uniform,6,56.568542494923804
True,341.0,3.1729561000247486,2000,none,3,[[-20 -35]],False,200,uniform,7,56.568542494923804
True,597.0,5.669019800028764,2000,none,3,[[-20 -35]],False,200,uniform,8,56.568542494923804
True,311.0,3.1055032000294887,2000,none,3,[[-20 -35]],False,200,uniform,9,56.568542494923804
False,,19.519477599998936,2000,none,3,[[-20 -35]],False,200,circle,0,56.568542494923804
